Name,Location,Experience Tags,Can Help With,Stages,Objectives,Interests,Looking for
User0,"Hoboken, United States",EnterpriseHealthcareMarketplace,Software EngineeringBusiness DevelopmentProduct Management,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founderLooking to join another team,AI/MLB2B SaaSBiotechBlockchain/CryptoClean TechnologyClimateHealthcareMarketplaceVentureReal Estate,Business DevelopmentGrowthProduct ManagementRecruitingSoftware EngineeringData Science
User1,"Santa Clara, United States",AcademiaAnalyticsBiotechEcommerceFinTechFuture of FoodInsuranceScienceBlockchain/CryptoDirect to Consumer,ResearchCommunicationsData Science,Open to new ideas,Looking for co-founderLooking to join another team,AI/MLBiotechBlockchain/CryptoClean TechnologyEcommerceFinTechFuture of FoodFuture of WorkMental Health/WellnessMarketplace,
User2,"Rochester, United States",AI/MLAnalyticsB2B SaaSClimateCommunityDirect to Consumer,Business DevelopmentData ScienceCommunications,Open to new ideasRaising funding,Looking for co-founderLooking to join another team,AI/MLAnalyticsB2B SaaSBlockchain/CryptoClean TechnologyClimateCommunityEducationEnterpriseMarketplace,DesignGrowthHardware EngineeringMarketingData ScienceAnalyticsC-Suite Executives
User3,"San Francisco, United States",FinTechGovernmentB2B SaaSEcommerceMarketplace,Business DevelopmentOperationsGrowth,Built a basic prototype/MVPOpen to new ideas,Looking for co-founderLooking to join another team,AI/MLClimateFinTechMarketplaceClean TechnologyEcommerce,Data ScienceC-Suite ExecutivesProduct Management
User4,"New York, United States",AnalyticsEcommerceCoachingConsumerDirect to ConsumerPeople OpsTalent,AnalyticsMarketingOperations,In early stages of exploring a specific ideaOpen to new ideas,Looking for co-founder,AnalyticsClean TechnologyClimateDirect to ConsumerEcommerceFuture of WorkMarketplaceNo-CodeSocial ImpactCommunity,Software Engineering
User5,"Paris, France",B2B SaaSEnterprise,Product Management,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founderLooking to join another team,ClimateB2B SaaSAnalyticsFinTechProductivityAI/ML,MarketingBusiness Development
User6,,B2B SaaS,Software EngineeringDesignProduct Management,Open to new ideas,Looking for co-founder,B2B SaaSAI/MLBlockchain/CryptoClean TechnologyCoachingClimateMental Health/WellnessReal EstateSocial ImpactCommunity,MarketingGrowthCommunicationsBusiness DevelopmentResearch
User7,"San Francisco, United States",B2B SaaSEcommerceEnterprise,Software EngineeringProduct ManagementOperations,Open to new ideasIn early stages of exploring a specific idea,Looking for co-founder,B2B SaaSBlockchain/CryptoConsumerEcommerceEducationFinTechHealthcareMarketplaceSocial,DesignGrowthResearchProduct Management
User8,"New York, United States",Clean TechnologyAnalyticsDeveloper ToolsEnterpriseInsuranceIOT,Software EngineeringProduct ManagementAnalytics,Built a basic prototype/MVPIn early stages of exploring a specific idea,Looking for co-founder,Clean TechnologySocial EnterprisePeople OpsProductivityFuture of WorkEnterpriseB2B SaaSAI/ML,Software EngineeringProduct ManagementBusiness Development
User9,"San Francisco, United States",CoachingDeveloper ToolsConsumerEcommerceEnterpriseProductivityReal EstateSocial,Software Engineering,Open to new ideas,Looking to join another teamLooking for co-founder,Developer ToolsAI/MLFuture of WorkMental Health/WellnessProductivityReal EstateRoboticsClean TechnologyClimateConsumer,Business DevelopmentProduct Management
